block,condition,auc,std_wtw
1,HP,7.198437486490597,2.4431211811211724
1,HP,9.38411799653699,1.7663107898251202
1,HP,9.97186667919028,3.371855986890792
1,HP,11.938875,0.25002943382870346
1,HP,6.679806385077019,2.851154418334091
1,HP,9.457851826466358,2.148131124951799
1,HP,10.081852526895151,2.77084888610663
1,HP,3.9232710550122705,2.644598904201206
1,HP,4.975497933192646,1.507935531671293
1,HP,6.239186397425783,1.6802340108484954
1,HP,5.398933682179574,3.5097478011077285
1,HP,11.982462686567164,0.14247380784249652
1,HP,7.480454743212151,1.3833171139840827
1,HP,6.475184465690416,3.3129892440256308
1,HP,11.17287743870879,2.0288083876325333
1,HP,11.902710015153604,0.571111657050739
1,HP,4.186310505247233,1.4211718204358044
1,HP,3.0848707796465953,1.831153202421269
1,HP,5.0156510217947945,3.076819564664649
1,HP,11.967926323071602,0.16472238346249182
1,HP,7.388939653238067,3.1645267440980933
1,HP,9.859092536201194,2.6954521494597943
1,HP,11.570103256123925,1.8313626069048088
1,HP,9.020115043614634,2.827328200589523
1,HP,5.498133705242717,2.444018153286496
1,HP,5.33664609911356,3.0765392520883452
1,HP,9.36800929489194,3.900058214550061
1,HP,9.701978537215053,1.8475819282001815
1,HP,6.515165023355896,2.9781031985547157
1,HP,11.010264371326368,1.9306677299496855
1,HP,10.907684830410036,2.297109052486835
1,HP,5.964894990977062,1.4191654392194286
1,HP,8.27394063831469,2.130005518373399
1,HP,6.697438159737632,1.2014589872263404
1,HP,7.094836608557879,2.7500551901144528
1,HP,7.837974043287548,2.2640137306993586
